displayName,joined,points,tier,totalBronzeMedals,totalGoldMedals,totalMedals,totalSilverMedals
radnado,2016-05-15T04:45:11.7Z,6546.0,expert,5,0,6,1
Rajkumar,2014-06-24T12:02:54.32Z,6544.0,expert,4,0,7,3
Hiromichi NOMATA,2017-03-26T08:04:02.037Z,6543.0,expert,2,0,2,0
iyarmolau,2013-01-30T23:19:09.293Z,6539.0,expert,4,0,7,3
kzhoulatte,2017-04-14T09:53:03.497Z,6538.0,expert,2,0,4,2
Toulouse,2011-03-18T12:15:01Z,6522.0,master,4,3,12,5
Kaggoo,2016-11-19T02:48:13.177Z,6521.0,expert,2,0,3,1
joaquín armando,2010-10-15T21:49:20Z,6500.0,expert,2,0,4,2
Peng,2013-07-12T02:35:46.913Z,6482.0,master,1,3,8,4
Obsidian,2016-07-29T16:23:17.78Z,6481.0,expert,2,0,5,3
khyh,2014-08-22T13:17:15.513Z,6478.0,master,3,2,14,9
Andrei Gorchakov,2015-04-17T09:09:05.87Z,6469.0,expert,3,0,5,2
nicolas gaude,2014-12-11T09:44:55.57Z,6465.0,master,0,3,5,2
Ananth K,2015-02-01T04:01:12.087Z,6464.0,expert,4,0,4,0
anonemaus,2015-11-21T22:16:54.85Z,6459.0,expert,0,1,2,1
menphim,2016-03-26T08:44:43.81Z,6459.0,expert,3,0,3,0
Ivan Meleshko,2017-09-04T13:06:41.23Z,6449.0,expert,2,0,2,0
Le Thanh,2017-07-20T17:53:05.73Z,6435.0,expert,1,0,3,2
Yang  Zhang,2016-10-10T07:05:44.2Z,6431.0,expert,4,0,5,1
Romain Ayres,2012-12-14T11:16:18.603Z,6429.0,master,2,4,9,3
Sujeeth S,2014-06-17T19:07:02.66Z,6429.0,expert,2,0,2,0
cmanning,2013-05-14T04:02:34.187Z,6425.0,expert,3,0,5,2
kwnsiy,2014-09-29T07:29:50.267Z,6413.0,expert,1,0,2,1
YIANG ZHENG,2017-04-04T03:54:02.38Z,6399.0,expert,1,0,2,1
ouyangxuan,2017-10-31T08:55:02.917Z,6396.0,expert,0,1,2,1
amunategui,2013-04-05T18:09:03.907Z,6370.0,expert,4,0,8,4
HongX,2016-05-22T01:45:57.693Z,6370.0,expert,0,0,2,2
Bibin Paul,2017-07-17T04:48:45.157Z,6350.0,expert,2,0,2,0
russiancube,2015-09-29T19:54:54.227Z,6346.0,expert,1,0,4,3
yeonmin,2016-10-13T16:39:03.117Z,6346.0,expert,2,0,5,3
YUNFEI DUAN,2018-01-01T09:41:34.057Z,6346.0,expert,0,0,2,2
EnvyMyFieldsMedal,2015-08-22T11:48:53.553Z,6343.0,expert,1,0,7,6
laol,2015-12-02T16:37:57.64Z,6332.0,expert,1,1,3,1
Alex Glinsky,2016-07-04T15:17:09.62Z,6332.0,expert,1,0,3,2
Charles Roberson,2015-01-07T21:44:52.62Z,6312.0,expert,3,0,3,0
Beaver48,2015-12-10T08:59:19.737Z,6312.0,expert,1,1,3,1
Nick Sarris,2015-07-15T18:46:41.823Z,6308.0,expert,2,0,5,3
Datta,2017-08-11T06:21:10.49Z,6304.0,expert,0,1,2,1
mephistopheies,2011-05-26T09:46:36.56Z,6300.0,master,3,1,6,2
iris2007,2013-11-14T20:41:39.527Z,6292.0,expert,5,0,6,1
Rzeznik,2016-01-07T17:20:32.597Z,6290.0,expert,1,0,3,2
fujisan,2017-04-03T13:16:27.46Z,6277.0,expert,1,0,3,2
Jacob,2016-09-22T19:40:12.42Z,6276.0,expert,1,0,3,2
mcasshy,2014-10-08T12:36:00.517Z,6233.0,expert,2,0,5,3
Lasteg,2017-05-12T03:34:41.153Z,6225.0,expert,2,0,2,0
master_yoda,2010-08-21T23:44:55Z,6224.0,expert,0,0,2,2
Eric Perbos-Brinck,2014-02-17T16:26:05.543Z,6219.0,expert,2,0,2,0
miguel perez,2014-01-13T13:53:03.563Z,6218.0,expert,2,0,2,0
lessonnair,2016-01-24T16:27:32.787Z,6217.0,expert,1,1,3,1
Derek Broadhead,2014-08-05T15:07:23.777Z,6203.0,master,1,1,4,2
RKR,2014-01-21T07:13:46.823Z,6195.0,expert,3,0,7,4
hahaTalk,2017-07-05T13:29:42.827Z,6165.0,expert,3,0,3,0
TheAnalyticProphet,2012-04-20T01:07:08.247Z,6163.0,expert,12,0,14,2
gbakie,2015-01-28T22:52:47.907Z,6161.0,expert,4,0,8,4
lazycat,2016-02-01T15:18:57.607Z,6154.0,master,0,1,3,2
James Thornton,2017-04-19T15:36:22.437Z,6140.0,expert,1,0,2,1
Scott Dobson,2011-02-08T03:18:25Z,6136.0,master,1,4,5,0
JuGL,2015-12-28T08:02:47.197Z,6124.0,expert,1,1,3,1
FAndy,2012-03-02T06:19:13.203Z,6120.0,grandmaster,1,5,12,6
MitchelFung,2017-06-10T03:22:12.853Z,6120.0,expert,0,0,3,3
Gerard Toonstra,2015-07-03T00:34:52.42Z,6117.0,master,2,2,5,1
pzy,2013-10-30T11:29:03.773Z,6100.0,expert,2,0,2,0
Roberto,2012-06-25T13:19:34.23Z,6088.0,grandmaster,3,5,13,5
Oscar Takeshita,2017-04-13T01:38:08.547Z,6085.0,expert,2,0,4,2
EduardoLi,2016-08-06T10:39:18.957Z,6072.0,expert,2,0,2,0
wleite,2012-12-18T13:20:33.04Z,6057.0,master,0,3,6,3
sorpmaL,2013-06-04T19:18:18.033Z,6056.0,expert,1,0,2,1
ivo,2011-01-21T12:53:57Z,6051.0,master,10,3,20,7
Vlad Mironov,2015-02-21T16:20:34.247Z,6050.0,master,2,1,3,0
gh,2012-10-02T22:59:22.607Z,6031.0,expert,5,0,10,5
old-ufo,2014-06-24T08:20:55.03Z,6027.0,expert,1,1,3,1
ploider,2017-01-19T13:51:03.457Z,6026.0,expert,0,0,3,3
NV27,2016-06-17T14:48:22.687Z,6012.0,master,0,1,3,2
Russ Boucher,2014-05-01T22:33:00.19Z,6002.0,expert,3,0,5,2
Sridhar ,2017-10-26T03:32:14.31Z,5998.0,expert,2,0,3,1
PermanentPon,2017-06-13T17:11:07.137Z,5994.0,expert,2,0,3,1
Saurabh,2014-05-29T17:22:45.55Z,5968.0,expert,2,0,5,3
AnubhavGupta,2015-07-04T06:49:03.923Z,5960.0,expert,1,1,3,1
felixlaumon,2014-10-07T19:41:03.933Z,5952.0,expert,1,1,3,1
valentin,2017-02-16T22:09:10.427Z,5949.0,expert,3,0,4,1
cdjb,2013-05-03T16:08:07.047Z,5945.0,expert,6,0,11,5
ang.eugn,2017-09-19T17:05:30.357Z,5937.0,expert,0,0,2,2
SarthakYadav,2016-04-14T10:02:01.467Z,5927.0,expert,2,0,4,2
Steinhafen,2017-03-06T12:05:50.457Z,5924.0,expert,2,0,4,2
Seb,2018-03-19T22:41:35.267Z,5920.0,expert,0,0,2,2
insist,2015-07-23T08:55:34.423Z,5913.0,expert,3,0,5,2
Learner,2016-05-24T13:56:42.073Z,5911.0,expert,6,0,8,2
lance,2017-01-03T16:40:37.797Z,5910.0,expert,0,0,3,3
Gábor Takács,2011-02-20T20:46:51Z,5897.0,master,0,4,6,2
Yury Kashnitsky,2014-03-27T13:30:04.747Z,5894.0,expert,2,0,3,1
Alfonso Nieto-Castanon,2011-04-05T18:37:16.197Z,5890.0,grandmaster,1,6,12,5
Evgeny Eltyshev,2014-10-25T19:06:42.483Z,5880.0,master,3,1,7,3
Ginga Yoshizawa,2014-10-07T03:03:33.087Z,5873.0,master,5,1,8,2
anatoly,2016-11-20T11:14:33.987Z,5873.0,expert,1,0,3,2
YL ,2016-05-31T13:43:35.843Z,5864.0,expert,2,1,3,0
Alexander Grigoriev,2015-05-14T12:57:42.017Z,5861.0,expert,1,0,3,2
Natalia Bliankinshtein,2015-09-07T15:49:45.803Z,5856.0,master,0,2,3,1
PBR,2016-03-21T14:09:28.807Z,5853.0,expert,3,0,4,1
Jukka Peltomäki,2017-06-06T08:20:27.863Z,5850.0,expert,0,0,2,2
dkay,2013-07-21T17:59:33.473Z,5847.0,master,0,4,16,12
Gaurav Dixit,2014-04-28T06:06:55.447Z,5847.0,master,1,1,6,4
T. Scharf,2012-11-10T15:35:20.443Z,5838.0,master,4,1,11,6
Seffi Cohen,2014-10-24T20:19:32.263Z,5826.0,master,5,1,9,3
andymasl,2015-10-20T20:02:58.323Z,5825.0,expert,1,0,5,4
Nilesh Kadam,2012-03-02T06:35:28.4Z,5821.0,expert,5,0,5,0
monkeyking,2016-10-31T13:17:27.63Z,5818.0,expert,0,0,3,3
Rudi Kruger,2012-08-23T11:27:01.077Z,5808.0,expert,3,0,6,3
Stas Sl,2015-04-03T06:49:32.407Z,5800.0,expert,0,0,3,3
cud155,2012-11-28T20:28:11.86Z,5795.0,expert,4,0,5,1
Bruno16,2014-05-29T10:22:29.593Z,5795.0,expert,4,0,4,0
Alexandru Papiu,2015-08-14T00:47:46.683Z,5792.0,master,0,1,4,3
Leon Chen,2015-03-08T22:17:15.747Z,5791.0,master,1,1,4,2
kr,2011-11-18T17:14:06.72Z,5787.0,grandmaster,12,5,32,15
Denis Vlasov,2016-06-01T19:14:42.287Z,5776.0,master,2,1,6,3
Chonglin Sun,2014-08-25T09:31:46.947Z,5774.0,expert,2,0,8,6
Naoto,2016-05-31T01:52:17.357Z,5764.0,expert,1,0,3,2
Samuel Darmawan,2017-05-19T08:27:53.787Z,5737.0,expert,1,0,2,1
big_data_cz,2014-11-02T10:50:58.123Z,5733.0,master,1,1,4,2
317070,2014-09-18T13:42:22.743Z,5727.0,master,0,3,3,0
Nikolay Falaleev,2016-10-17T15:42:23.227Z,5723.0,expert,1,0,2,1
jburms,2014-10-06T16:26:51.987Z,5714.0,master,0,3,3,0
Florian Muellerklein,2014-10-07T02:24:36.973Z,5705.0,master,1,1,7,5
Tim Joseph,2016-12-16T18:42:43.18Z,5703.0,expert,1,1,3,1
Alvor,2018-01-18T13:37:20.56Z,5699.0,expert,0,0,2,2
Denis Medyantsev,2016-03-14T04:50:32.4Z,5698.0,expert,0,0,2,2
wzfstat,2014-11-11T05:26:42.58Z,5693.0,expert,2,0,4,2
ywkim,2012-01-19T05:11:45.007Z,5691.0,expert,1,0,2,1
Yakolle Zhang,2017-06-24T07:16:09.833Z,5674.0,expert,0,0,2,2
Ozembuch,2014-08-04T12:32:31.147Z,5670.0,master,1,1,5,3
Bcottman,2014-04-18T21:16:25.09Z,5669.0,expert,3,0,3,0
Jisung Kim,2016-05-26T07:24:26.253Z,5662.0,expert,0,1,2,1
Iary Joseph,2016-08-12T18:32:13.743Z,5652.0,expert,2,0,3,1
Vladimir Boichenko,2016-01-16T16:16:45.747Z,5648.0,expert,1,0,2,1
justart,2015-08-29T09:58:31.47Z,5627.0,expert,2,0,3,1
Philip Wahrlich,2013-01-27T22:57:44.913Z,5626.0,expert,3,2,5,0
Julien,2012-02-23T09:07:59.867Z,5616.0,expert,4,0,9,5
Saket Kunwar,2013-06-10T02:07:20.373Z,5613.0,expert,3,0,9,6
John Duffy,2016-01-17T14:15:13.777Z,5612.0,expert,1,0,4,3
Finlay Liu,2016-05-24T00:24:41.487Z,5610.0,expert,0,0,2,2
5hun,2015-02-22T13:52:23.073Z,5609.0,expert,1,0,2,1
Oussama Errabia,2016-04-05T15:24:07.51Z,5601.0,expert,3,0,6,3
Saurabh Rajkarnikar,2016-08-02T16:53:21.147Z,5597.0,expert,1,0,2,1
fsodogandji,2016-01-25T13:06:28.003Z,5596.0,expert,3,0,3,0
sumo,2012-12-29T14:58:57.337Z,5577.0,master,1,2,7,4
MT,2016-02-05T14:55:24.803Z,5566.0,expert,2,0,2,0
indirection1,2017-06-11T16:39:05.91Z,5565.0,expert,2,0,2,0
Øystein Schønning-Johansen,2016-06-20T07:54:47.58Z,5560.0,expert,2,0,4,2
Manuel Campos,2017-11-28T17:56:47.47Z,5560.0,expert,1,0,4,3
Someperson53,2014-05-22T23:16:32.65Z,5559.0,expert,2,0,8,6
DennisSakva,2015-05-08T08:52:52.237Z,5558.0,expert,3,0,5,2
Kenley Tan,2013-06-14T12:41:30.003Z,5557.0,expert,0,0,4,4
Run2,2013-06-18T13:02:59.227Z,5557.0,master,1,1,5,3
merkylove,2015-03-31T11:11:35.91Z,5549.0,expert,0,0,3,3
jrao,2014-03-13T02:51:50.797Z,5548.0,expert,0,0,4,4
yuki,2017-09-05T08:54:28.543Z,5543.0,expert,1,0,4,3
HOHOYAO,2015-09-20T09:34:35.177Z,5542.0,expert,1,0,2,1
Nicolas Wesner,2016-01-23T13:58:26.52Z,5542.0,expert,1,1,2,0
Bradley Mitchell,2012-07-27T01:49:34.353Z,5530.0,expert,1,1,2,0
Pavel Svintsov,2015-09-15T18:17:11.357Z,5513.0,expert,2,0,3,1
Liam Culligan,2015-04-09T08:24:02.593Z,5511.0,expert,5,0,10,5
PaulG,2014-01-01T16:02:46.75Z,5510.0,expert,0,0,5,5
Vijay Bhasker Reddy,2017-09-15T06:05:00.377Z,5498.0,expert,2,0,4,2
4d4stra,2015-05-26T14:17:40.487Z,5495.0,expert,5,1,7,1
Gasimov Aydin,2017-05-24T20:41:11.78Z,5485.0,expert,2,0,2,0
Alessandro Mariani,2012-09-26T04:20:03.107Z,5484.0,master,1,3,8,4
Pierre Nowak,2015-08-31T10:28:50.123Z,5482.0,master,1,2,5,2
Zaur Fataliyev,2016-08-22T05:49:37.027Z,5479.0,expert,1,0,3,2
MrOoijer,2013-03-17T18:51:13.027Z,5466.0,master,1,1,6,4
Liang Pang,2013-07-22T01:29:51.483Z,5466.0,master,0,3,4,1
Sandeep Sikka,2014-03-22T02:51:48.457Z,5461.0,expert,5,0,11,6
SecondPlan,2013-06-12T21:49:03.467Z,5382.0,expert,7,0,7,0
MichaelS,2016-02-13T16:57:21.153Z,5381.0,expert,1,0,3,2
Tyrone Cragg,2015-04-09T08:23:29.83Z,5380.0,expert,5,0,9,4
Johnny Strings,2014-07-22T15:43:24.2Z,5377.0,expert,1,0,3,2
glazed,2011-04-05T16:18:05.143Z,5364.0,master,1,1,4,2
Mujtaba Hasan,2014-01-31T03:00:53.093Z,5362.0,expert,2,0,2,0
Ji Yang,2014-12-12T07:08:00.957Z,5356.0,master,1,1,4,2
Dr J,2014-12-29T23:53:11.9Z,5337.0,expert,3,0,4,1
swkcoding,2015-12-29T02:27:07.887Z,5327.0,expert,0,0,2,2
tj_bh,2014-11-20T03:06:08.777Z,5326.0,expert,2,0,4,2
Chandan Verma,2014-03-25T10:16:35.343Z,5312.0,expert,2,0,2,0
StuartLu,2016-06-12T10:23:13.59Z,5301.0,expert,1,0,4,3
antoine.mercier,2015-12-13T09:10:07.7Z,5300.0,expert,1,1,3,1
Prestonite,2016-03-20T11:29:11.273Z,5292.0,expert,3,0,3,0
Lugark,2017-02-11T09:43:04.66Z,5285.0,expert,1,0,2,1
Igor Alesey,2013-01-23T13:37:33.207Z,5281.0,expert,0,0,3,3
Shotaro Sano,2013-09-21T15:19:42.313Z,5279.0,expert,0,0,4,4
wenchao,2016-05-28T02:31:41.317Z,5265.0,expert,0,0,3,3
Rahul Kumar,2015-02-20T10:55:27.973Z,5263.0,expert,0,0,2,2
Ivan Filonov,2016-10-13T17:41:03.003Z,5260.0,expert,1,0,3,2
David Solis,2014-12-11T07:23:34.92Z,5254.0,expert,2,0,6,4
Manohar Swamynathan,2014-08-14T07:25:52.43Z,5244.0,expert,3,0,4,1
HenryVu,2015-11-27T06:19:43.06Z,5240.0,expert,2,0,4,2
abzaliev,2015-07-30T09:09:29.107Z,5235.0,expert,2,0,4,2
kaho,2016-05-11T08:08:11.537Z,5233.0,expert,1,1,3,1
Data000,2015-08-14T08:54:52.67Z,5232.0,expert,1,0,3,2
AntonTimofeev,2015-04-26T10:00:21.377Z,5220.0,expert,1,1,3,1
ClovexZ,2017-07-09T21:07:37.65Z,5211.0,expert,1,0,2,1
MengYe,2017-06-07T02:00:09.833Z,5208.0,expert,1,0,3,2
MichaelP,2016-01-21T21:12:47.087Z,5203.0,expert,0,0,3,3
lnicalo,2013-08-19T23:05:04.82Z,5201.0,expert,3,0,6,3
sparkingarthur,2016-12-29T03:08:03.72Z,5200.0,expert,0,0,3,3
saihttam,2012-08-06T18:39:03.437Z,5197.0,expert,5,0,9,4
narsil,2015-12-28T15:39:52.377Z,5189.0,master,0,1,4,3
binga,2013-11-12T12:41:18.907Z,5188.0,expert,4,0,6,2
RunningWolf,2014-08-19T14:48:42.37Z,5188.0,expert,2,1,3,0
DimaSakovich,2016-05-19T13:21:19.933Z,5177.0,expert,2,0,2,0
grantfrefg,2017-05-24T08:15:15.04Z,5173.0,expert,2,0,2,0
JianiLi,2016-12-14T01:32:34.717Z,5170.0,expert,1,1,3,1
Taranpreet Singh,2017-01-21T00:14:51.31Z,5162.0,expert,0,1,2,1
Wenlong Shen,2015-04-02T11:45:35.1Z,5161.0,expert,5,0,6,1
Giovanni,2011-12-16T11:56:34.637Z,5154.0,master,7,1,18,10
algopia,2015-08-09T05:36:57.853Z,5152.0,expert,3,0,4,1
Ching-Loong Seow,2016-07-13T06:25:04.197Z,5152.0,expert,0,0,2,2
TomM,2013-04-20T16:44:36.227Z,5151.0,expert,3,0,8,5
emolson,2014-02-12T19:34:12.62Z,5149.0,master,1,2,6,3
thedoctor46,2015-05-03T11:13:15.423Z,5142.0,expert,5,0,9,4
Matt,2011-04-05T12:41:49.087Z,5141.0,master,8,1,14,5
utah777,2014-10-13T08:52:52.55Z,5141.0,expert,1,0,3,2
Guilherme Campos,2016-11-16T17:11:16.35Z,5135.0,expert,2,0,3,1
Bowman,2014-04-13T01:13:04.273Z,5130.0,expert,2,0,2,0
Giuseppe Casalicchio,2012-08-08T22:13:00.817Z,5128.0,master,2,1,9,6
Cedric Gouy-Pailler,2012-08-06T09:02:49.883Z,5126.0,master,4,2,14,8
yukari17,2015-04-28T04:12:03.093Z,5126.0,master,0,1,4,3
Arjun Blum,2016-02-29T14:53:29.34Z,5101.0,expert,2,0,3,1
kyazuki,2014-11-24T23:15:37.913Z,5096.0,master,1,1,6,4
TonyChan,2016-09-27T04:05:48.823Z,5093.0,expert,0,0,2,2
flashnik,2012-03-13T21:17:37.177Z,5092.0,expert,6,0,7,1
Obel,2012-08-25T18:01:57.233Z,5086.0,expert,1,0,2,1
Treebeard,2017-01-16T09:00:39.85Z,5078.0,expert,1,0,4,3
ClusterFork,2014-11-08T17:13:19Z,5077.0,expert,3,1,5,1
Moh,2017-10-09T20:58:16.997Z,5072.0,expert,1,1,2,0
Alvira,2017-09-14T21:31:51.903Z,5058.0,expert,1,0,3,2
Abdellah EL MEKKI,2016-10-15T18:48:36.863Z,5055.0,expert,2,0,3,1
Prithvi,2015-06-11T15:36:44.637Z,5047.0,expert,3,0,5,2
Evgeniy Malishev,2015-12-29T12:06:41.497Z,5047.0,expert,1,0,3,2
cxlcc,2015-10-25T09:39:08.52Z,5035.0,expert,2,1,3,0
Larxel,2016-11-15T02:55:17.343Z,5031.0,expert,2,0,3,1
Ragnar,2016-09-06T22:25:50.943Z,5025.0,expert,2,0,4,2
Dog W,2016-10-11T20:47:08.297Z,5010.0,expert,0,1,2,1
Nandanam,2013-10-13T09:13:49.22Z,5005.0,expert,1,0,3,2
Dexteritas,2014-05-08T06:52:36.853Z,4995.0,expert,1,0,3,2
mtadeusiak,2015-05-09T20:04:12.207Z,4986.0,master,1,1,4,2
PGorshenin,2016-07-28T06:12:56.113Z,4981.0,expert,0,0,2,2
Alexandr,2013-09-05T14:53:31.117Z,4979.0,expert,2,0,4,2
Andrea Rapuzzi,2017-01-27T13:38:48.587Z,4975.0,expert,1,0,2,1
Konstantin Gavrilchik,2016-10-30T17:43:48.7Z,4968.0,expert,0,0,2,2
Vitalii Peretiatko,2016-05-12T15:04:03.357Z,4962.0,expert,2,0,4,2
Chau Ngoc Huynh,2017-06-03T06:49:49.423Z,4959.0,expert,1,0,4,3
Quang Nguyen,2017-11-06T03:17:46.087Z,4959.0,expert,1,0,4,3
Dung NB,2017-11-06T05:49:44.577Z,4959.0,expert,1,0,4,3
Mattsco,2012-11-20T01:55:22.657Z,4958.0,master,7,2,17,8
mengmengyong,2013-04-23T14:49:51.56Z,4955.0,master,0,4,4,0
Dire Nuthatch,2015-04-14T20:14:16.323Z,4953.0,expert,5,0,6,1
KenMa,2015-12-30T10:10:07.353Z,4947.0,expert,1,0,3,2
Dimastij,2015-03-05T21:09:34.927Z,4946.0,master,2,1,5,2
Bhupinder,2016-07-08T12:08:18.507Z,4945.0,expert,2,0,3,1
Blind shot,2015-10-27T19:12:38.437Z,4944.0,expert,0,0,3,3
vrajs5,2014-09-30T10:24:19.343Z,4940.0,master,2,1,7,4
OuYangjia,2017-05-23T12:44:26.583Z,4929.0,expert,1,0,3,2
horizon,2015-08-31T07:29:28.13Z,4926.0,master,1,2,5,2
Masahiro Sakai,2013-03-04T01:40:18.157Z,4924.0,expert,1,1,2,0
Prakul,2013-12-30T06:52:16.333Z,4919.0,expert,0,1,2,1
nehz,2015-05-12T03:58:27.647Z,4919.0,expert,1,0,2,1
Thomas SELECK,2014-09-29T12:07:14.337Z,4917.0,expert,3,0,4,1
stella09,2013-08-04T18:07:10.137Z,4901.0,expert,0,0,2,2
Seiya Tokui,2012-04-02T11:56:01.117Z,4899.0,expert,1,1,2,0
Benjamin Bossan,2013-06-08T14:02:38.767Z,4899.0,master,2,1,6,3
Kirill Kravtsov,2015-09-04T20:04:31.877Z,4892.0,expert,1,0,4,3
BayesianBrick,2018-02-03T09:36:36.583Z,4892.0,expert,0,1,2,1
Jose M.,2011-06-01T22:26:54.713Z,4889.0,master,1,1,5,3
Tetsuro Tayama,2014-06-12T15:19:42.223Z,4888.0,expert,3,0,4,1
TakeshiMiyauchi,2016-06-10T04:53:56.303Z,4882.0,expert,1,1,2,0
Shuji Suzuki,2017-05-02T05:15:09.207Z,4882.0,expert,1,1,2,0
Motoki Abe,2017-07-31T06:31:25.173Z,4882.0,expert,1,1,2,0
Peyman Sheikholharam,2016-03-29T03:34:35.02Z,4880.0,expert,0,0,3,3
Kun Hao Yeh,2017-09-13T09:56:52.303Z,4879.0,expert,0,0,2,2
nardtree,2018-02-17T12:07:15.1Z,4873.0,expert,0,0,2,2
Vladislav Kassym,2014-08-04T16:01:08.84Z,4872.0,expert,1,0,2,1
Hamed Seyed-allaei,2014-05-04T08:25:40.873Z,4867.0,expert,6,0,9,3
Alexander Radionov,2017-03-17T13:05:47.957Z,4859.0,expert,1,1,2,0
Bibimoune,2012-04-18T11:37:22.43Z,4858.0,master,1,2,4,1
Regis A. Ely,2016-01-16T10:35:47.357Z,4858.0,expert,1,1,2,0
mke2016,2016-02-18T07:13:55.397Z,4857.0,expert,1,0,4,3
Matt Rose,2017-06-27T14:03:05.57Z,4856.0,expert,1,0,3,2
Gabriel Preda,2016-10-27T20:37:40.773Z,4848.0,expert,3,0,3,0
Kjetil Åmdal-Sævik,2014-12-09T12:46:00.473Z,4845.0,expert,0,0,3,3
guestwalk,2012-12-31T13:30:51.477Z,4838.0,master,0,4,4,0
mandora,2013-04-14T05:50:18.72Z,4838.0,master,0,4,4,0
madcap,2014-08-02T13:51:37.1Z,4836.0,master,0,2,4,2
Josef Slavicek,2012-09-19T16:18:35.687Z,4832.0,master,1,2,4,1
tsing,2014-12-12T16:59:08.287Z,4827.0,master,3,1,7,3
Misam Abbas,2015-11-22T21:09:02.623Z,4827.0,expert,0,0,4,4
thenx,2011-10-23T10:48:45.79Z,4821.0,expert,7,0,9,2
nukappa,2014-04-23T22:36:38.92Z,4811.0,expert,3,0,4,1
IggiSv9t,2016-06-04T13:00:47.747Z,4808.0,expert,3,0,3,0
Meyk,2018-01-03T12:42:07.747Z,4808.0,expert,0,0,2,2
Cro-Magnon,2016-10-07T13:01:21.597Z,4804.0,expert,3,0,3,0
chrisslz,2012-04-25T19:13:33.94Z,4796.0,master,2,2,10,6
Henryk,2016-06-18T09:11:56.61Z,4791.0,master,0,1,4,3
Eric,2018-01-17T07:51:15.003Z,4790.0,expert,1,0,2,1
xing zhao,2012-03-01T17:37:59.877Z,4789.0,grandmaster,2,5,11,4
Rafał Poświata,2017-08-21T20:51:58.667Z,4787.0,expert,1,0,2,1
Dominic Brassard,2017-02-03T21:18:53.403Z,4780.0,expert,0,0,3,3
Daniel Lavery,2016-09-08T16:40:27.527Z,4778.0,expert,0,1,2,1
Shai Ronen,2014-05-25T05:32:30.647Z,4776.0,master,2,1,6,3
Hartmut Ott,2015-06-05T01:32:42.723Z,4774.0,expert,5,0,6,1
Hugo Pinto,2016-02-16T12:29:47.23Z,4774.0,expert,2,0,4,2
a-bout,2014-05-05T08:27:41.28Z,4772.0,expert,2,0,5,3
AndrewWang,2016-11-24T14:54:08.363Z,4772.0,expert,0,0,2,2
Oleg Romanovskyi,2017-07-05T16:35:28.13Z,4771.0,expert,1,0,2,1
Maxim Milakov,2012-06-18T05:24:52.96Z,4770.0,grandmaster,5,5,11,1
Johan van Rooij,2014-12-04T22:14:30.293Z,4765.0,expert,1,1,3,1
maternaj,2011-07-07T09:42:05.867Z,4760.0,master,7,2,19,10
Gideon,2014-01-09T02:16:50.103Z,4760.0,expert,1,0,2,1
Junonia,2014-04-06T03:07:45.81Z,4760.0,master,0,3,3,0
Serg Lavrikov,2016-08-17T08:04:16.6Z,4760.0,expert,1,0,3,2
ncavallo,2015-04-09T17:09:16.017Z,4755.0,master,1,1,4,2
Enhao Song,2016-06-18T16:42:32.52Z,4755.0,expert,1,0,2,1
quantumgeek,2015-12-14T22:25:42.84Z,4754.0,expert,1,0,2,1
Shim vui ann,2014-06-11T01:54:01.457Z,4750.0,master,2,1,7,4
Excuses,2016-10-08T07:40:18.797Z,4749.0,expert,0,0,2,2
Avishek,2013-08-14T14:13:15.607Z,4741.0,expert,7,0,9,2
Tatsunaga,2017-05-07T21:13:34.623Z,4741.0,expert,3,0,3,0
LazyGUY,2015-06-26T16:38:03.533Z,4739.0,expert,1,1,2,0
JamesGoGo,2016-08-03T08:04:48.707Z,4732.0,expert,3,0,3,0
mortehu,2012-10-31T06:23:04.56Z,4730.0,expert,1,1,2,0
Bhaskar Lachman Khubchandani,2017-02-14T08:45:31.45Z,4729.0,expert,4,0,4,0
Tamaki,2016-09-03T14:59:55Z,4722.0,expert,2,0,4,2
yhlee,2016-06-14T09:53:52.787Z,4716.0,expert,4,0,4,0
Niklas Köhler,2014-06-15T15:16:07.987Z,4702.0,master,0,3,6,3
sergio callarelli,2016-02-11T17:20:03.54Z,4701.0,expert,1,1,2,0
Daniel S.,2017-03-06T19:50:40.177Z,4700.0,expert,5,0,6,1
BlackMagic,2010-07-23T16:58:23Z,4698.0,master,2,1,12,9
vgng,2015-01-05T02:17:03.12Z,4695.0,expert,3,1,5,1
Mike,2017-01-16T21:17:20.937Z,4687.0,expert,1,0,3,2
Gábor Melis,2012-08-22T09:06:37.17Z,4683.0,master,0,3,4,1
nikita.astronaut,2016-03-07T17:07:47.763Z,4683.0,expert,1,1,3,1
SM,2014-12-02T09:48:22.113Z,4677.0,expert,1,1,3,1
Bang Nguyen,2014-12-27T04:25:20.637Z,4676.0,master,1,1,4,2
philosophical zombie,2017-10-03T15:20:15.41Z,4666.0,expert,3,0,3,0
George Shih,2015-12-15T01:59:44.997Z,4661.0,expert,0,1,2,1
PavelNikulin,2017-01-16T19:47:51.59Z,4660.0,expert,1,0,2,1
Victor Leontyev,2017-10-31T06:26:05.343Z,4660.0,expert,3,0,3,0
Mhamed Jabri,2017-06-01T11:55:26.123Z,4659.0,expert,1,1,2,0
Shahnawaz Akhtar,2016-03-23T19:20:01.48Z,4653.0,expert,2,0,4,2
CalmeToi,2014-06-13T02:44:31.673Z,4652.0,expert,1,0,3,2
Anna Aghila Sebastina,2017-07-17T11:00:18.627Z,4650.0,expert,2,0,2,0
