displayName,joined,points,tier,totalBronzeMedals,totalGoldMedals,totalMedals,totalSilverMedals
SS,2016-05-04T10:05:58.803Z,8555.0,master,2,1,6,3
zzgo,2014-12-18T19:49:03.96Z,8549.0,expert,1,0,3,2
Doug Koch,2012-06-26T04:12:47.867Z,8542.0,master,7,3,14,4
Andaman,2014-09-29T02:19:05.637Z,8502.0,expert,6,0,10,4
joconnor,2015-08-18T20:29:49.997Z,8496.0,expert,3,0,5,2
Menno,2012-07-21T12:17:36.403Z,8492.0,expert,12,0,24,12
Roman Trusov,2013-02-17T09:29:47.187Z,8483.0,master,1,2,3,0
pankajsharma,2015-11-06T08:39:47.997Z,8442.0,expert,3,0,4,1
Shuhei Fujiwara,2014-12-16T08:41:11.84Z,8379.0,expert,2,0,3,1
CVxTz,2015-08-27T20:07:37.067Z,8363.0,expert,2,0,5,3
Benjamin Graham,2013-12-01T01:22:50.083Z,8338.0,master,0,2,3,1
robf26,2015-09-22T21:43:06.543Z,8324.0,expert,1,0,4,3
Birchwood,2014-08-09T02:30:18.04Z,8323.0,expert,3,1,5,1
Watts,2016-05-01T00:30:09.117Z,8322.0,expert,3,0,5,2
wenzhou,2017-07-07T07:33:55.057Z,8305.0,expert,0,2,2,0
hbo,2017-07-06T18:15:11.23Z,8253.0,expert,0,0,3,3
SpruceMoose,2015-03-17T06:57:29.087Z,8248.0,expert,2,1,3,0
KG123,2017-04-26T12:32:38.05Z,8240.0,expert,2,1,4,1
Markus Kliegl,2012-11-05T04:38:02.627Z,8238.0,expert,0,1,2,1
ChrisCC,2015-03-19T14:45:35.663Z,8224.0,master,4,1,8,3
DmitryKotovenko,2016-08-27T14:32:50.147Z,8220.0,expert,2,1,3,0
Ravi Teja Gutta,2015-12-11T16:22:44.947Z,8184.0,expert,3,0,6,3
GreatDataAnalyst,2015-04-10T09:24:43.977Z,8181.0,master,2,1,7,4
Bibi Mining,2012-10-16T15:05:56.143Z,8176.0,master,5,5,13,3
Varov Aleksandr,2017-06-08T13:15:28.933Z,8171.0,expert,1,0,4,3
pim,2011-04-04T15:41:12.333Z,8170.0,expert,6,0,12,6
Yash Sharma,2016-08-30T02:58:43.727Z,8166.0,master,0,1,3,2
Sergey Malyutin,2017-09-12T05:34:38.38Z,8158.0,expert,1,1,3,1
Samrat P,2017-04-20T03:01:02.377Z,8156.0,expert,1,0,3,2
MillCheck,2014-07-02T13:42:00.44Z,8155.0,master,0,4,8,4
Sergei Bugrov,2015-03-29T01:08:04.463Z,8154.0,expert,2,0,2,0
John Ma,2016-12-02T17:48:53.353Z,8124.0,master,0,1,3,2
ynktk,2017-05-09T14:49:10.373Z,8095.0,expert,1,1,2,0
haoyhu,2016-12-06T12:56:02.713Z,8089.0,master,1,1,6,4
musicmilif,2015-04-12T15:08:52.003Z,8073.0,expert,1,0,6,5
harshml,2017-04-19T19:41:22.133Z,8070.0,expert,0,1,2,1
SomethingIsWrong,2017-12-04T03:30:20.55Z,8031.0,expert,0,0,2,2
zarak,2014-05-06T20:04:00.153Z,8029.0,expert,0,0,2,2
takapt,2016-12-21T18:23:16.717Z,8015.0,expert,0,0,2,2
aphex34,2014-09-15T09:44:02.913Z,8014.0,expert,0,1,2,1
==>(AL)<==,2015-07-03T05:05:53.08Z,8008.0,master,5,2,9,2
Andi Leslie Yan,2015-01-05T02:19:34.933Z,8003.0,expert,2,0,5,3
Vladimir Fomenko,2016-07-15T18:23:15.93Z,7990.0,expert,1,0,3,2
Rafal Jankowski,2017-02-15T09:06:01.447Z,7988.0,expert,2,0,5,3
Vadik,2016-10-15T12:18:46.407Z,7973.0,expert,1,0,4,3
Argmen,2015-08-14T16:36:03.593Z,7972.0,master,2,3,7,2
PureMilk,2016-12-26T09:08:54.357Z,7968.0,expert,1,0,3,2
Matt Boyd,2017-02-22T02:17:01.3Z,7961.0,expert,3,0,4,1
Igor.Mishchenko,2013-03-17T08:09:08.157Z,7953.0,expert,1,1,3,1
José A. R. Fonollosa,2013-04-15T15:53:15.637Z,7947.0,grandmaster,0,5,7,2
Aloisio Dourado,2016-08-19T17:39:11.85Z,7947.0,expert,3,0,5,2
Oleksandr Vorobiov,2015-03-02T22:01:49.237Z,7932.0,master,0,1,4,3
Mengfei Li,2017-04-15T22:20:31.347Z,7923.0,master,1,1,5,3
Damian Mingle,2012-07-20T14:54:04.783Z,7915.0,master,5,2,10,3
menny,2016-01-03T19:06:10.253Z,7890.0,expert,0,1,2,1
MB14 ,2016-05-16T11:39:56.343Z,7886.0,expert,0,1,2,1
Alexander Kireev,2016-01-30T04:59:38.097Z,7885.0,expert,2,0,5,3
adver,2017-09-01T10:22:26.78Z,7868.0,expert,1,1,2,0
Bruno G. do Amaral,2014-09-02T15:09:39.38Z,7854.0,expert,0,0,4,4
kos_,2015-08-22T10:32:54.497Z,7850.0,expert,1,0,5,4
ololo,2013-06-10T10:20:56.98Z,7842.0,master,2,1,6,3
Jo-fai Chow,2012-01-01T22:52:44.143Z,7832.0,expert,7,0,10,3
pudae,2017-01-01T11:53:05.823Z,7825.0,expert,1,0,2,1
Andreas Merentitis,2013-07-16T18:52:20.383Z,7817.0,master,2,1,4,1
ysaz,2014-12-13T18:02:39.56Z,7808.0,expert,3,0,4,1
TheChief,2015-03-12T19:39:36.163Z,7794.0,expert,2,0,2,0
Bryan Arnold,2016-12-16T23:13:50.963Z,7783.0,expert,2,0,3,1
Andreisun,2014-04-01T08:38:39.607Z,7777.0,expert,5,0,10,5
Alexander Makeev,2015-07-09T16:04:55.96Z,7776.0,expert,3,0,3,0
Broken Robot,2014-09-19T03:31:07.247Z,7775.0,expert,1,0,6,5
Elena Cuoco,2013-12-10T07:52:35.643Z,7766.0,master,7,1,10,2
Vinayaka,2013-05-13T10:39:42.993Z,7765.0,master,7,1,10,2
sijunhe,2015-11-20T05:22:41.777Z,7765.0,expert,0,0,4,4
ChrisW,2015-02-17T17:50:57.103Z,7730.0,master,4,1,8,3
Hadi Ramezani-Dakhel,2017-06-01T23:41:32.613Z,7720.0,expert,0,1,2,1
Gaurav Kumar,2017-06-09T02:24:35.51Z,7720.0,expert,1,0,2,1
uuulearn,2018-01-07T06:06:51.367Z,7708.0,expert,0,0,4,4
Alexander Zinovev,2015-10-26T01:32:23.367Z,7705.0,expert,1,0,3,2
David Surkov,2011-05-18T20:51:30.407Z,7689.0,expert,0,1,2,1
Tilii,2016-03-06T08:29:19.203Z,7687.0,expert,1,0,3,2
Random Hero,2015-04-11T23:49:43.62Z,7675.0,master,2,1,5,2
Murali krishna teja,2014-05-24T19:48:00.097Z,7668.0,expert,4,1,6,1
Telcontar120,2014-08-28T15:49:50.49Z,7663.0,expert,2,0,2,0
Zeng Zeng,2015-11-24T06:34:02.653Z,7662.0,master,0,1,5,4
Andrey,2015-03-25T19:34:18.037Z,7659.0,master,3,1,7,3
H Xu,2015-04-29T00:02:06.157Z,7656.0,expert,1,1,2,0
Tim Hochberg,2015-01-29T16:42:59.327Z,7642.0,master,2,1,7,4
Bing Bai,2016-10-13T06:16:40.453Z,7639.0,master,1,1,4,2
Vadim Stolyarov,2017-03-20T15:30:54.853Z,7637.0,expert,0,1,2,1
Roman,2016-03-24T16:11:52.773Z,7631.0,expert,5,0,6,1
Denis Logvinenko,2017-09-05T02:35:26.553Z,7631.0,expert,0,0,2,2
